"","pull_request_id","loc_additions","loc_deletions","num_files_changed","merged_status"
"461",272921,139,20,3,"Merged"
"462",273949,139,0,7,"Merged"
"463",254714,139,12,5,"Merged"
"464",258119,139,20,7,"Merged"
"465",266067,139,12,2,"Merged"
"466",209319,139,19,4,"Merged"
"467",264229,138,44,2,"Merged"
"468",263001,138,24,3,"Rejected"
"469",263181,138,9,3,"Merged"
"470",254735,138,1,5,"Merged"
"471",264591,138,12,7,"Merged"
"472",262934,138,24,3,"Merged"
"473",254948,138,2,7,"Merged"
"474",256085,138,25,2,"Merged"
"475",213786,138,0,5,"Rejected"
"476",214254,138,0,1,"Merged"
"477",256088,137,22,5,"Merged"
"478",270401,137,0,2,"Rejected"
"479",268795,137,11,6,"Rejected"
"480",267527,137,7,5,"Merged"
"481",269503,137,2,5,"Merged"
"482",213812,137,0,4,"Merged"
"483",259116,137,8,3,"Merged"
"484",254064,137,37,4,"Merged"
"485",263646,137,0,4,"Merged"
"486",213714,137,0,5,"Merged"
"487",209361,136,27,7,"Merged"
"488",214950,136,51,3,"Merged"
"489",213574,136,34,1,"Merged"
"490",264746,136,1,11,"Merged"
"491",258369,135,32,5,"Merged"
"492",255585,135,2,5,"Merged"
"493",273698,135,30,7,"Merged"
"494",209110,135,29,7,"Merged"
"495",256744,135,0,4,"Merged"
"496",258916,135,0,7,"Rejected"
"497",209384,135,0,2,"Merged"
"498",272244,135,0,5,"Merged"
"499",263128,134,41,2,"Merged"
"500",259771,134,2,5,"Merged"
"501",272558,134,0,4,"Merged"
"502",214926,134,5,11,"Merged"
"503",272288,134,26,9,"Rejected"
"504",258912,134,2,2,"Rejected"
"505",254924,134,34,7,"Rejected"
"506",256094,134,32,7,"Merged"
"507",209826,134,2,4,"Merged"
"508",268356,134,4,2,"Merged"
"509",255608,134,4,2,"Merged"
"510",261221,134,21,4,"Merged"
"511",261934,134,50,1,"Merged"
"512",261445,134,25,8,"Merged"
"513",268393,134,51,8,"Merged"
"514",267717,133,9,4,"Merged"
"515",262726,133,27,11,"Merged"
"516",254675,133,18,3,"Merged"
"517",260502,133,15,4,"Merged"
"518",254937,133,0,3,"Merged"
"519",268076,132,43,1,"Merged"
"520",269967,132,0,5,"Merged"
"521",260242,132,49,9,"Merged"
"522",268742,132,1,7,"Merged"
"523",260659,132,2,2,"Merged"
"524",266030,132,2,6,"Merged"
"525",214154,132,2,10,"Merged"
"526",264709,132,21,6,"Merged"
"527",264776,132,21,6,"Merged"
"528",256806,131,7,3,"Merged"
"529",214180,131,24,5,"Merged"
"530",209404,131,14,8,"Merged"
"531",255646,131,37,10,"Merged"
"532",262188,131,2,6,"Merged"
"533",272041,131,6,4,"Merged"
"534",214093,131,0,4,"Merged"
"535",261106,130,0,7,"Merged"
"536",213690,130,0,1,"Merged"
"537",259156,130,28,4,"Merged"
"538",256589,130,0,1,"Merged"
"539",263113,130,41,3,"Merged"
"540",209325,129,0,1,"Merged"
"541",209193,129,21,6,"Rejected"
"542",263481,129,32,8,"Merged"
"543",213760,129,28,6,"Merged"
"544",272564,129,0,4,"Merged"
"545",254822,129,12,1,"Rejected"
"546",255735,129,1,3,"Merged"
"547",264643,128,30,7,"Merged"
"548",257204,128,4,4,"Merged"
"549",256460,128,10,5,"Merged"
"550",269484,128,18,10,"Merged"
"551",262234,128,0,3,"Rejected"
"552",254388,128,46,9,"Merged"
"553",263700,128,3,8,"Merged"
"554",273225,128,0,10,"Merged"
"555",254199,128,1,8,"Merged"
"556",259356,128,28,8,"Merged"
"557",209793,128,1,3,"Merged"
"558",269579,127,15,4,"Merged"
"559",270586,127,4,5,"Merged"
"560",259756,127,1,7,"Merged"
"561",213523,127,6,5,"Merged"
