pull_request_id,pr_src_title
242376,implement desiredWorld populator to sync up with informer
229779,WIP: Add e2e test for tmpfs
243351,WIP: advanced audit proposal
232083,Augmented kubelet healthz with syncLoop check.
246617,CRI: Instrumented cri service
282062,kubeadm: config migrate handles more valid configs
210796,Adding endpoint for log retrieval on the minion
238596,Generate legacy client for ConfigMap
271794,Explicit kubelet flags
289624,[1.14] Automated cherry pick of #82638: Encryption config: correctly handle overlapping providers
289628,kubectl: namespace support in resource edits
290273,[migration phase 1] PodFitsHost as filter plugin
210131,Add validation of VolumeMounts
237412,Add unit test for GetNewRC and GetOldRCs in deployment
248523,Remove RBAC UserAll
213016,Release 0.9.2
291469,apiextensions: freeze and document supported v1.16 OpenAPI formats
279303,begin a test framework so we can collect exhaustive test vectors
258829,Add sorting to kubectl top
269577,Add Pod-level local ephemeral storage metric in Summary API
280373,Automated cherry pick of #68691: verify invalid secret/configmap/projected volumes
282935,Provision vsphere volume as per zone
252131,Admission controller plugin for storage policy management
280329,verify invalid secret/configmap/projected volumes
293665,Fix ExternalTrafficPolicy support for Service ExternalIPs
234227,Adding support for deployments to client library
241430,"WIP - Add Login Command, and add OIDC implementation."
243990,Scheduledjobs e2e
280374,Automated cherry pick of #68691: verify invalid secret/configmap/projected volumes
268996,Block volume: Command line printer update
235507,expose: Enable exposing multiport objects
245083,Add e2e tests for storageclass
280916,kubectl: copy pod utils into util/podutils package
271387,add UT for pkg/kubelet/cm/deviceplugin/pod_devices.go
268866,auth: allow nodes to create tokens for svcaccts of pods
246651,[WIP] Storage ACLs using ResourceQuota
238536,Add proposal for kubelet TLS bootstrap
243729,External Load Balancer Source IP Preservation Proposal
291994,Fix(kubectl): the fields of history controllerrevision will be covered with daemonset
236992,Add a tool for monitoring log generation rates
238288,Add document on writing good e2e tests.
275048,Add scale subresource to the sample-controller
235304,Automated cherry pick of #14566 #15045 #15105
235301,Automated cherry pick of #14566 #15045 upstream release 1.1
251449,Admission plugin initializer for the generic API server.
235302,Automated cherry pick of #14566 #15045 upstream release 1.1
248520,add service status detection to kubernetes-discovery
234081,e2e test for backoff
266433,Kubeadm - Added initial support for Windows worker nodes to join cluster using kubeadm
228853,Make libvirt-coreos cluster able to run e2e tests
286495,Handle updates removing remaining finalizers on deleted objects
293931,Use discovery to test apply all status
271680,Add cache for VirtualMachinesClient.Get in azure cloud provider
290092,"If an iptables proxier sync fails, retry after iptablesSyncPeriod"
229305,Kubelet read pods from http
232255,Add an e2e test to verify that pods are deleted on nodes
